,단맛(설탕),단맛(과일),상큼(새콤 달콤),쓴맛(과일),쓴맛(술),맛,도전의지,도수,도수_val,양,꺼리는 것,기타,Unnamed: 12,탄산,식감,기주,멘트,Unnamed: 17
쿠바 리브레,1,,1.0,,,"단맛, 새콤",,14,3.0,2?,탄산,"럼, 라임주스, 콜라 / 콜라의 맛에 라임주스의 상큼함과 럼의 향",,있음,물,럼,쿠바에 자유를!,
키르,,1,1.0,,,쓴맛,도전,14,3.0,3,,"화이트와인의 신 맛과 블랙커런트 베이스인 카시스의 단 맛이 어우러지는 맛, 와인",,없음,물,와인,,
키스 오브 파이어,,1,1.0,,1.0,"새콤, 독함",도전,25,5.0,3,,슈가 리밍 / 슬로 진(자두를 이용한 진)을 사용해 상큼하지만 베르뭇의 떫은 맛도 존재함 ,,없음,물 드라이?,보드카,불타는 키스를 느껴보세요,
톰 콜린스,1,,1.0,,,깔끔 달달,,16,3.0,2,탄산,"레몬주스와 설탕(설탕시럽), 소다수가 들어가 새콤달콤하지만, 진 특유의 향이 남",,있음,물,진,,
파우스트,,1,,,1.0,독함,도전,높음 최상위권,7.0,3,,정말 센 술 / 블랙커런트 베이스인 카시스의 단 맛과 알코올의 맛이 조화를 이룸,,없음,,럼,악마의 유혹과 같이 정말 센 술,
피나 콜라다,1,1,,,,파인애플 + 코코넛 맛,,13,3.0,4,,"파인애플, 코코넛 밀크, 럼 등이 들어감 / 럼이 들어가지만, 파인애플과 코코넛의 비율이 높아 럼의 맛은 거의 느껴지지 않는 편",,없음,크리미,럼,파인애플과 코코넛의 조화,https://youtu.be/vLom-87AmO8
피치 크러쉬,,1,1.0,,,새콤,,낮음,2.0,3,,"피치 시냅스(복숭아 베이스 술)과 크랜베리 주스, 레몬주스 혹은 스위트앤사워 믹스를 써서 상큼한 과일 맛이 느껴짐",,없음,주스,리큐르,,
핑크 레이디,1,,,,,약간 달콤(거의 진),,20,4.0,4,"달걀, 우유",계란 흰자와 우유(크림)을 넣어 쉐이크해 소프트한 맛이 있음,,없음,크리미,진,,
핑크 진,,,1.0,,1.0,독함,"도전, 진",35,5.0,3,탄산,,,있기도 함,물,진,,
하비 월뱅어,1,,1.0,,1.0,깔끔한 맛,,15,3.0,2,,,,없음,주스,보드카,,
하이볼,1,,1.0,,,단맛,,7,2.0,,탄산,위스키인데 도전적인건 아니다,,있음,,위스키,HI!!! BALL!!!,
허니문,1,,1.0,1.0,,깔끔함,,25,5.0,3,,과일향,,없음,"물,주스",브랜디,,
화이트 러시안,1,,,,1.0,"단맛, 생크림, 커피 리큐르",,22,4.0,3,"커피, 우유","커피 리큐르, 크림 얹어줌",,없음,크리미,보드카,,
화이트 레이디,,,1.0,1.0,1.0,"약간 쓴맛, 새콤","진, 도전",30,5.0,3,,,,없음,"물,주스",진,,
B-52,1,,,,1.0,독한맛,도전,26,5.0,1,"커피, 우유, 초코","베일리스 깔루아, 위에 불을 붙이기도함",,없음,크리미,리큐르,너를 폭격해버리게써!!!,
OLD PAL,,,,1.0,1.0,단맛,위스키,24,4.0,3,,,,없음,물,위스키,,
XYZ,,,1.0,,1.0,"단맛, 신맛",,26,5.0,3,,,,없음,"물,주스",럼,ABCDEFGHIJKLMNOPQRSTUVW,
골든 메달리스트,1,1,,,,딸기 바나나 맛,,0,1.0,4,,"딸기 4-5개, 바나나 반 개정도를 넣어 얼음과 함께 블렌드 한 음료 ",,없음,블렌디드,,메달이 전부는 아니죠..,
버진메리,,1,1.0,1.0,,"토마토쥬스, 후추, 소금",도전,0,1.0,3,,"레몬주스와 토마토주스를 넣은 후 우스터소스, 타바스코 소스, 소금과 후추를 첨가하고 셀러리를 꽂음",,없음,"물,주스",,,
신데렐라,,1,1.0,,,새콤한 맛,,0,1.0,3,,"레몬주스와 오렌지주스, 파인애플주스를 쉐이크해 먹는 음료 / 기본 레시피를 따라 먹으면 졸라 심",,없음,"물,주스",,12시가 되면 땡,
선라이즈,1,1,1.0,,,새콤 달콤,,0,1.0,3,,오렌지주스에 그레나딘시럽을 섞어 달달하게 만든 음료,,없음,"물,주스",,데킬라 선라이즈랑 헷갈리면 안됩니다! 실수하기 쉬운 문제입니다!,
버진 피나 콜라다,1,1,,,,달콤,,0,1.0,3,,"코코넛크림과 파인애플주스로 만든 음료 / 셰이크해 먹거나, 블렌더에 넣고 갈아 먹음",,없음,크리미,,피나 콜라다의 무알콜 버전!,
마이페어레이디,,,1.0,1.0,1.0,새콤 술맛,진,8,2.0,2,달걀,영화 my fair lady가 있다,,없음,부드럽다,진,여보 밥 좀 줘,
톰 콜린스,1,,1.0,,,새콤 달콤,진,12,3.0,3,탄산,"콜린스류의 대표격, 올드 톰이라는 진을 사용했어서 이름이 붙었다",,있음,물,진,,
깁슨,,,1.0,,1.0,"독한맛, 드라이, 드라이 버머스의 시큼한 맛",진,36,6.0,2,작은 양파(펄 어니언),마티니에 올리브 대신 펄 어니언으로 가니쉬,,없음,물,진,,
블러디 마가렛,,1,1.0,1.0,,토마토 주스와 짜고 매운맛,"진, 도전",20,4.0,4,"토마토, 후추",블러디메리에 보드카 대신 진,,없음,약간 걸쭉,진,,
비즈 니즈,1,,1.0,,1.0,레몬과 꿀 그리고 진,진,21,4.0,2,꿀,금주령 시기에 집에서 만든 낮은 퀄리티의 기주의 향과 맛을 가리기 위해 만들어졌다,,없음,물,진,우리 비즈니스 관계였어?? 실망이야 헤어져,
존 콜린스,1,,1.0,,,새콤 달콤,위스키,12,3.0,,탄산,톰 콜린스에 기주를 위스키로 바꾼 칵테일,,있음,물,진,,
다크 앤 스토미,1,,,1.0,1.0,진저에일 ,럼,14,3.0,3,"탄산, 생강","버뮤다를 상징하는 칵테일, 다크럼",,있음,물,럼,,
좀비,1,1,1.0,,1.0,"여러 맛을 즐길 수 있다, 술, 과일, 달콤, 새콤",럼,24,4.0,4,,"여러가지 럼을 사용하는 칵테일, 오리지널 레시피가 어렵기에 변종레시피가 많다",,없음,쥬스,럼,이거 마시다간 좀비가 아니라 시체될듯; 택시불러~~,
건 파이어,,,,,1.0,홍차에 다크럼,럼,10,2.0,2,홍차,홍차 한 컵에 다크 럼 샷 하나,,없음,물,럼,저도 한번 마셔보고 싶네용,
쿠반 선셋,1,1,1.0,,,데킬라 선셋에 데킬라 대신 럼,럼,12,3.0,3,탄산,데킬라 선라이즈에 데킬라 대신 럼,,있음,물,럼,쿠바의 해가 지네요,
애플 마티니,,1,1.0,,1.0,애플 + 마티니,,28,5.0,2,,진 대신 보드카를 사용하고 사과를 이용한 술을 사용한 마티니 형태의 칵테일,,없음,물,보드카,,
베이 브리즈,,1,1.0,,,크랜베리와 파인애플 쥬스,,10,2.0,3,파인애플,상큼하게 즐길 수 있는 트로피칼 칵테일,,없음,물,보드카,,
블루 라군,1,,1.0,,1.0,달콤 상큼,,26,5.0,2,,시원하게 즐길 수 있는 트로피칼 칵테일,,없음,물,보드카,,
보드카 선라이즈,1,,1.0,,,단맛,,12,3.0,3,,데킬라 선라이즈에 데킬라 대신 보드카,,없음,물,보드카,데킬라 선라이즈와 사촌 쯤 될껄요?,
우우,,1,1.0,,,새콤 달콤 복숭아와 크랜베리 ,,14,3.0,2,,가볍게 즐길 수 있는 복숭아맛 칵테일,,없음,물,보드카,외쳐!! 우우!!,
처칠,1,,1.0,,1.0,스카치 위스키 기반에 새콤함을 더함,위스키,29,5.0,3,,런던 Savoy 호텔의 바텐더 Joe Gilmore가 처칠을 위해 만든 칵테일,,없음,물,위스키,하루정도는 처칠이 되어보자구요,
아이리쉬 커피,1,,,,1.0,아이리쉬 위스키와 커피와 크림,위스키,10,2.0,3,"커피, 크림, 우유",아일랜드 더블린공항 로비라운지에서 고객에게 서비스 차원에서 제공하던 칵테일,,없음,커피와 크림,위스키,"네, 아일랜드 커피 맞습니다. 진짠데",
사제락,1,,,,1.0,좋은 풀향이 그윽하고 적절한 단맛이 섞인 위스키,위스키,40,6.0,1,압생트,"벤자민버튼에 나옴, 압생트로 린스, 샷은 아닌데 양은 적다",,없음,물,위스키,락앤락 엌ㅋㅋㅋㅋ,
민트 줄렙,1,,,,1.0,산뜻한 민트향 ,위스키,26,5.0,3,"민트, 탄산",심플하지만 민트향이 좋은 칵테일,,있음,물,위스키,민 트 좋 아,
홀스 피더,1,,,1.0,1.0,위스키 그리고 진저에일 약간의 향,위스키,11,3.0,3,"생강, 탄산",,,있음,물,위스키,,
코로나리타,1,,1.0,,,"버니니 특유의 상큼함, 마가리타의 새콤달콤 씁쓸",,15,3.0,3,탄산,빙수처럼 얼음을 갈아서 넣어주고 미니코로나를 홀더에 끼워서 만들었다. 멕시코 지역특성상 더운 날씨에 갈증해소를 위해 라임이나 레몬을 넣음(맥주에),,있음,물,데킬라,ㅊㅈ비어에서도 팔던데,
버니니리타,1,,1.0,1.0,,달콤한 향과 새콤쌉쌀한 맛,,15,3.0,3,탄산,빙수처럼 얼음을 갈아서 넣어주고 버니니를 홀더에 끼워서 만들었다.,,있음,물,데킬라,마가리타 아닙니다,
말리부 오렌지,1,1,,,,말리부의 향과 독특한 단맛 (코코넛),,6,2.0,4,,오렌지 주스와 말리부만 들어간 굉장히 심플한 칵테일 기호에 맞춰서 토닉을 넣어서 먹기도 한다.,,없음,물,럼,,
바하마 브리즈,1,1,1.0,,,다양한 과일이 들어간 달콤 상큼,,0,1.0,4,,"파인애플, 오렌지, 레몬 주스와 꿀 그리고 코코넛, 다크 럼, 바나나 리큐르가 들어간 달콤한 맛일거 같다.",,없음,주스,,,
일렉트릭 레모네이드,,,1.0,,,상큼한 맛,,10,2.0,3,탄산,보드카에 블루 쿠라카오를 가미한 상큼한 레몬에이드 칵테일,,있음,물,보드카,,
치치,,1,,,,코코넛과 파인애플이 조화된 단맛,,7,2.0,3,,얼음을 갈아넣어서 시원하게 스무디 같이 먹는 것이 특징 (피나 콜라다는 베이스가 럼 치치는 보드카),,없음,주스,보드카,치....,
텍사스 티(Texas Tea),1,,,,1.0,"데킬라, 진, 럼, 보드카, 위스키 등","데킬라, 진, 위스키, 럼",40이상,6.0,4,,롱 아일랜드 아이스 티 처럼 차가 안들어가는 데 차 맛이 난다. 롱티에서 버번 위스키만 추가,,있음,물,"데킬라, 진, 럼, 보드카, 위스키",Texas T와 Texas Tea 두개는 다른겁니다~,
동해,1,1,1.0,,,"달콤, 새콤 등 무난한 맛",,20,4.0,3,,"레몬, 라임,  사과, 설탕 시럽 등이 들어간 달달한 맛",,없음,주스,리큐르,주모~~~ 셔터 내려~~~,
